,timestamp,open,high,low,close,fx_daily_mean
0,2025-11-20,1.1535,1.1549,1.1506,1.1527,1.15292
1,2025-11-19,1.1579,1.1597,1.1517,1.1536,1.15572
2,2025-11-18,1.1591,1.1607,1.157,1.1579,1.15867
3,2025-11-17,1.162,1.1624,1.1581,1.159,1.16038
4,2025-11-14,1.1638,1.1653,1.1604,1.162,1.16288
5,2025-11-13,1.1592,1.1655,1.1578,1.1631,1.1614
6,2025-11-12,1.158,1.1597,1.1562,1.1592,1.15828
7,2025-11-11,1.1556,1.1605,1.1546,1.158,1.15718
8,2025-11-10,1.1565,1.1583,1.1538,1.1556,1.15605
9,2025-11-07,1.1546,1.1591,1.1528,1.1565,1.15575
10,2025-11-06,1.1491,1.1552,1.1489,1.1547,1.15198
11,2025-11-05,1.1483,1.1497,1.1468,1.1491,1.14847
12,2025-11-04,1.1519,1.1533,1.1472,1.1482,1.15015
13,2025-11-03,1.1534,1.1541,1.1504,1.1518,1.15242
14,2025-10-31,1.1565,1.1577,1.152,1.1534,1.1549
15,2025-10-30,1.16,1.1637,1.1546,1.1565,1.1587
16,2025-10-29,1.165,1.1665,1.1577,1.1599,1.16228
17,2025-10-28,1.1644,1.1668,1.1625,1.165,1.16467
18,2025-10-27,1.1625,1.1651,1.1616,1.1643,1.16338
19,2025-10-24,1.1618,1.1647,1.1599,1.1625,1.16222
20,2025-10-23,1.1609,1.162,1.1584,1.1617,1.16075
21,2025-10-22,1.1598,1.1622,1.1576,1.161,1.16015
22,2025-10-21,1.1641,1.1655,1.1597,1.1598,1.16228
23,2025-10-20,1.1657,1.1675,1.1637,1.164,1.16522
24,2025-10-17,1.1686,1.1728,1.165,1.1651,1.16788
25,2025-10-16,1.1647,1.1694,1.164,1.1687,1.1667
26,2025-10-15,1.1605,1.1647,1.16,1.1646,1.16245
27,2025-10-14,1.157,1.1615,1.154,1.1605,1.15825
28,2025-10-13,1.1618,1.1629,1.1556,1.1568,1.15928
29,2025-10-10,1.1563,1.163,1.1555,1.1618,1.15915
30,2025-10-09,1.1623,1.1648,1.1541,1.1563,1.15938
31,2025-10-08,1.1653,1.1661,1.1597,1.1626,1.16342
32,2025-10-07,1.1712,1.1716,1.1647,1.1655,1.16825
33,2025-10-06,1.1741,1.1741,1.1649,1.1709,1.171
34,2025-10-03,1.1714,1.1758,1.1712,1.1741,1.17312
35,2025-10-02,1.1728,1.1758,1.1681,1.1714,1.17203
36,2025-10-01,1.1733,1.1778,1.1712,1.1729,1.1738
37,2025-09-30,1.1726,1.1761,1.1711,1.1733,1.17328
38,2025-09-29,1.1697,1.1754,1.1697,1.1725,1.17183
39,2025-09-26,1.1665,1.1707,1.1657,1.1701,1.16825
40,2025-09-25,1.1738,1.1753,1.1645,1.1665,1.17003
41,2025-09-24,1.1814,1.1819,1.1727,1.1737,1.17742
42,2025-09-23,1.1802,1.1819,1.1778,1.1815,1.18035
43,2025-09-22,1.1744,1.1803,1.1725,1.1802,1.17685
44,2025-09-19,1.1786,1.1792,1.1728,1.1744,1.17625
45,2025-09-18,1.1812,1.1848,1.175,1.1786,1.1799
46,2025-09-17,1.1866,1.1918,1.1806,1.1812,1.18505
47,2025-09-16,1.1762,1.1878,1.1756,1.1866,1.18155
48,2025-09-15,1.1733,1.1774,1.1715,1.176,1.17455
49,2025-09-12,1.1733,1.1747,1.17,1.1733,1.17282
50,2025-09-11,1.1693,1.1745,1.1661,1.1733,1.1708
51,2025-09-10,1.1707,1.173,1.1681,1.1693,1.17028
52,2025-09-09,1.1762,1.1779,1.1702,1.1706,1.17372
53,2025-09-08,1.1717,1.1765,1.17,1.1762,1.1736
54,2025-09-05,1.1648,1.1759,1.1645,1.1717,1.16922
55,2025-09-04,1.1659,1.1669,1.1628,1.1649,1.16512
56,2025-09-03,1.1642,1.1682,1.1606,1.1661,1.16477
57,2025-09-02,1.1709,1.1718,1.161,1.1638,1.16687
58,2025-09-01,1.1684,1.1736,1.1683,1.1709,1.1703
59,2025-08-29,1.1682,1.1708,1.1649,1.1684,1.16808
60,2025-08-28,1.1637,1.1697,1.1627,1.1682,1.16608
61,2025-08-27,1.1642,1.1647,1.1573,1.1637,1.16248
62,2025-08-26,1.1618,1.1665,1.1599,1.1642,1.1631
63,2025-08-25,1.1715,1.1727,1.1601,1.1618,1.16652
64,2025-08-22,1.1605,1.1742,1.1581,1.1715,1.16608
65,2025-08-21,1.1652,1.1662,1.1598,1.1605,1.16292
66,2025-08-20,1.1649,1.1673,1.1621,1.1651,1.16485
67,2025-08-19,1.1659,1.1692,1.1637,1.1646,1.16585
68,2025-08-18,1.1691,1.1716,1.1655,1.166,1.16805
69,2025-08-15,1.1647,1.1715,1.1644,1.1697,1.16758
70,2025-08-14,1.1705,1.1715,1.163,1.1646,1.1674
71,2025-08-13,1.1674,1.173,1.1667,1.1704,1.16938
72,2025-08-12,1.1614,1.1697,1.1597,1.1673,1.16452
73,2025-08-11,1.1637,1.1675,1.1589,1.1614,1.16288
74,2025-08-08,1.1665,1.1679,1.1628,1.1639,1.16528
75,2025-08-07,1.1659,1.1698,1.1609,1.1665,1.16578
76,2025-08-06,1.1571,1.1668,1.1563,1.1659,1.16152
77,2025-08-05,1.157,1.1587,1.1525,1.1574,1.1564
78,2025-08-04,1.1577,1.1596,1.1547,1.157,1.15725
79,2025-08-01,1.1414,1.1597,1.1389,1.1584,1.1496
80,2025-07-31,1.1404,1.146,1.1402,1.1415,1.14202
81,2025-07-30,1.1545,1.1572,1.1399,1.1404,1.148
82,2025-07-29,1.1588,1.1599,1.1515,1.1545,1.15618
83,2025-07-28,1.1746,1.1772,1.1584,1.1588,1.16725
