,timestamp,open,high,low,close,fx_daily_mean
0,2025-11-20,1.3055,1.3123,1.3034,1.307,1.30705
1,2025-11-19,1.3144,1.3155,1.304,1.3056,1.30988
2,2025-11-18,1.3155,1.3176,1.3131,1.3142,1.3151
3,2025-11-17,1.3135,1.3193,1.3132,1.3155,1.31538
4,2025-11-14,1.3187,1.32,1.3105,1.3168,1.3165
5,2025-11-13,1.3125,1.3215,1.3097,1.3189,1.31565
6,2025-11-12,1.3148,1.3157,1.3081,1.313,1.3129
7,2025-11-11,1.3171,1.3184,1.3113,1.315,1.31545
8,2025-11-10,1.3148,1.3191,1.3133,1.3173,1.31612
9,2025-11-07,1.3135,1.3174,1.3092,1.3157,1.31395
10,2025-11-06,1.3044,1.3142,1.3042,1.3136,1.3091
11,2025-11-05,1.3019,1.3054,1.3007,1.3049,1.30322
12,2025-11-04,1.3142,1.3145,1.3007,1.3018,1.3078
13,2025-11-03,1.3138,1.3162,1.3106,1.3138,1.3136
14,2025-10-31,1.315,1.3164,1.3094,1.3151,1.31398
15,2025-10-30,1.3192,1.3218,1.3114,1.315,1.31685
16,2025-10-29,1.3268,1.328,1.3137,1.3193,1.32195
17,2025-10-28,1.3335,1.3369,1.3244,1.327,1.33045
18,2025-10-27,1.3296,1.3352,1.3296,1.3335,1.33198
19,2025-10-24,1.3324,1.3359,1.3284,1.3309,1.3319
20,2025-10-23,1.3353,1.3362,1.3305,1.3324,1.3336
21,2025-10-22,1.337,1.3387,1.3302,1.3355,1.33535
22,2025-10-21,1.3404,1.3416,1.3358,1.3366,1.3386
23,2025-10-20,1.3422,1.3443,1.3397,1.3404,1.34165
24,2025-10-17,1.3436,1.3471,1.3388,1.3424,1.34298
25,2025-10-16,1.3399,1.3454,1.3389,1.343,1.3418
26,2025-10-15,1.3323,1.3407,1.3313,1.3401,1.3361
27,2025-10-14,1.3332,1.3352,1.3245,1.3316,1.33112
28,2025-10-13,1.3358,1.3366,1.331,1.3332,1.33415
29,2025-10-10,1.3301,1.337,1.3258,1.3358,1.33218
30,2025-10-09,1.3403,1.3419,1.3277,1.3301,1.335
31,2025-10-08,1.3422,1.3438,1.3368,1.3404,1.3408
32,2025-10-07,1.3484,1.3487,1.3389,1.3422,1.34455
33,2025-10-06,1.3427,1.349,1.3413,1.3482,1.3453
34,2025-10-03,1.343,1.3486,1.3425,1.3478,1.34548
35,2025-10-02,1.3477,1.351,1.3397,1.3435,1.34547
36,2025-10-01,1.345,1.3527,1.3432,1.3477,1.34715
37,2025-09-30,1.3425,1.3467,1.341,1.3441,1.34358
38,2025-09-29,1.3389,1.3456,1.3387,1.3426,1.34145
39,2025-09-26,1.3342,1.3412,1.3326,1.34,1.337
40,2025-09-25,1.3446,1.3467,1.3321,1.334,1.33935
41,2025-09-24,1.3522,1.3528,1.3423,1.3444,1.34792
42,2025-09-23,1.3512,1.3536,1.3484,1.3522,1.35135
43,2025-09-22,1.3467,1.352,1.3449,1.3512,1.3487
44,2025-09-19,1.3554,1.3559,1.346,1.3466,1.35098
45,2025-09-18,1.3625,1.366,1.353,1.3554,1.35922
46,2025-09-17,1.3646,1.3726,1.3616,1.3625,1.36532
47,2025-09-16,1.36,1.3671,1.3592,1.3647,1.36275
48,2025-09-15,1.3555,1.3619,1.3539,1.3596,1.35772
49,2025-09-12,1.3572,1.358,1.3521,1.3556,1.35572
50,2025-09-11,1.3529,1.3582,1.3491,1.3572,1.35435
51,2025-09-10,1.3527,1.3562,1.351,1.3529,1.3532
52,2025-09-09,1.3544,1.359,1.3514,1.3524,1.3543
53,2025-09-08,1.3499,1.3556,1.3478,1.3543,1.3519
54,2025-09-05,1.3433,1.3554,1.3425,1.3506,1.34795
55,2025-09-04,1.3435,1.3459,1.3413,1.3433,1.3435
56,2025-09-03,1.3387,1.3458,1.333,1.3444,1.34048
57,2025-09-02,1.3538,1.3549,1.3337,1.3391,1.34538
58,2025-09-01,1.3503,1.3549,1.3492,1.3543,1.35218
59,2025-08-29,1.3508,1.3517,1.3443,1.3503,1.34927
60,2025-08-28,1.3495,1.353,1.348,1.3512,1.35042
61,2025-08-27,1.3481,1.3501,1.3414,1.3497,1.34732
62,2025-08-26,1.3454,1.3493,1.3431,1.348,1.34645
63,2025-08-25,1.3517,1.3527,1.3442,1.3454,1.3485
64,2025-08-22,1.3408,1.3544,1.3387,1.3522,1.34652
65,2025-08-21,1.3461,1.3482,1.3403,1.3411,1.34392
66,2025-08-20,1.3484,1.3509,1.3444,1.3457,1.34735
67,2025-08-19,1.35,1.3531,1.3474,1.349,1.34988
68,2025-08-18,1.3543,1.3565,1.3499,1.3502,1.35272
69,2025-08-15,1.3531,1.3575,1.352,1.3551,1.35442
70,2025-08-14,1.3571,1.3594,1.3517,1.3531,1.35532
71,2025-08-13,1.3498,1.3584,1.3489,1.3575,1.35365
72,2025-08-12,1.3427,1.3523,1.3417,1.3495,1.34655
73,2025-08-11,1.3422,1.3476,1.3396,1.3428,1.34305
74,2025-08-08,1.3439,1.3458,1.3415,1.3449,1.34402
75,2025-08-07,1.3353,1.3448,1.3342,1.3441,1.3396
76,2025-08-06,1.3299,1.3368,1.3278,1.3355,1.3325
77,2025-08-05,1.329,1.3316,1.3256,1.3299,1.32902
78,2025-08-04,1.3271,1.333,1.325,1.3283,1.32835
79,2025-08-01,1.3205,1.331,1.3138,1.3278,1.32328
80,2025-07-31,1.3233,1.3282,1.3182,1.3205,1.32255
81,2025-07-30,1.3341,1.3385,1.3224,1.3235,1.32962
82,2025-07-29,1.336,1.3363,1.3304,1.3348,1.33438
83,2025-07-28,1.343,1.3452,1.3348,1.3355,1.33962
84,2025-07-25,1.3509,1.3517,1.3413,1.3434,1.34682
85,2025-07-24,1.3575,1.3588,1.3499,1.3509,1.35428
86,2025-07-23,1.3528,1.3583,1.3512,1.358,1.35508
87,2025-07-22,1.3487,1.3534,1.3459,1.3528,1.3502
88,2025-07-21,1.3393,1.351,1.3391,1.3488,1.34455
89,2025-07-18,1.3408,1.3475,1.3402,1.3404,1.34222
90,2025-07-17,1.3419,1.3429,1.3371,1.3415,1.34085
91,2025-07-16,1.3379,1.3485,1.3361,1.3421,1.34115
92,2025-07-15,1.3427,1.3467,1.3376,1.3379,1.34122
93,2025-07-14,1.3485,1.3504,1.3421,1.3427,1.34592
94,2025-07-11,1.3567,1.3585,1.3479,1.3499,1.35325
95,2025-07-10,1.3586,1.3619,1.353,1.3573,1.3577
96,2025-07-09,1.3585,1.3619,1.3561,1.3586,1.35878
97,2025-07-08,1.3599,1.3646,1.3523,1.3585,1.35883
98,2025-07-07,1.3625,1.3657,1.3572,1.3599,1.36132
99,2025-07-04,1.3656,1.3681,1.3631,1.3652,1.3655
